sample	unit	type	lane	fq1	fq2
TCF1_DP_F1		chip1	S1	ChIP_seq_TCF1_DP_F1_34_Rep1B_Rep1T_61119059_S1_R1_001.fastq.gz	ChIP_seq_TCF1_DP_F1_34_Rep1B_Rep1T_61119059_S1_R2_001.fastq.gz
TCF1_DP_F1_input		input1	S2	ChIP_seq_input_DP_F1_34_Rep1B_Rep1T_61119059_S2_R1_001.fastq.gz	ChIP_seq_input_DP_F1_34_Rep1B_Rep1T_61119059_S2_R2_001.fastq.gz
